URL,Book,Text,hdr1,hdr2,tildeinfo,note,lines,metadata,data,region,stoich,sinistr,subregion,date,other_info_0,other_info_1,other_info_2
/text/167841?location=941&patt=&bookid=185&offset=0&count=7&bookid=185&location=941,IGBulg I²,1,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 1,,,8,"1



5


","Αὐρ(ήλις) Φλάβ̣[ι]-
ς vacat Μ(ᾶρκος) {²⁶Μ(ᾶρκος) Αὐρ(ήλιος) Φλάβιος}²⁶
ἱερεὺς λη-
φθὶς ὑπὰ {²⁶ὑπὸ}²⁶
τῶν βαρ-
βάρων, σω-
θὶς ἐλθὼν
[— — — —]",Caron limen (Shabla Prom.),,,Tvarditsa,3rd c. AD,3rd c. AD,IScM III 242 (Kallatis),
/text/167842?location=941&patt=&bookid=185&offset=0&count=7&bookid=185&location=941,IGBulg I²,2,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 2,,,9,"
1



5


","[— — — — — — — — —]
[— — — — — —]․[․]δο․
[καὶ τῇ] γυναικί μου
Σα̣[β]είνᾳ Πείου κα[ὶ]
τοῖς τέκνοις μου
Λου[κ]ίλλᾳ καὶ Βασίᾳ̣
[κ]αὶ Προκελλείνῃ
κ[α]ὶ Ἀκύλᾳ καὶ Βικτω-
ρίνῳ τειμῆς χάριν.",Caron limen (Shabla Prom.),,,Tvarditsa,,SEG 15.479,IScM III 243 (Kallatis),
/text/167843?location=941&patt=&bookid=185&offset=0&count=7&bookid=185&location=941,IGBulg I²,3,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 3,,,3,"1

","[— — —]αν λ[— — —]
[ἀρχιε]ρέα(?) {²⁷[ἱε]ρέα(?)}²⁷ [— — —]
[— — — — — — — —]",Caron limen (Shabla Prom.),,,Tvarditsa,,IScM III 244 (Kallatis),,
/text/167844?location=941&patt=&bookid=185&offset=0&count=7&bookid=185&location=941,IGBulg I²,4,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 4,,,2,"1
","[— — — — — —]ος
[— — — —]ε̣ίου γυνά.",Scythia Minor,,,Kallatis (Mangalia),4th c. BC,Shabla,4th c. BC,IScM III 245 (Kallatis)
/text/167845?location=941&patt=&bookid=185&offset=0&count=7&bookid=185&location=941,IGBulg I²,5,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 5,,,8,"1



5


","Ἰο̣[υ]λίαν̣ [Μαμαίαν μητέ]-
[ρ]α τοῦ κυ[ρίου ἡμῶν καὶ]
ἀνεική[του Αὐτοκρά]-
[τ]ορος [Καίσαρος Μ(άρκου) Αὐρ(ηλίου)]
[Σε]υ<ή>ρου [Ἀλεξάνδρου]
καὶ μη[τέρα κάστρων]
βο<υ>λὴ̣ [δῆμος Καλ]-
[λ]ατιανῶ[ν (ἀνέστησεν)].",Scythia Minor?,,,Kallatis (Mangalia)?,222-235 AD?,Gorichane,222-235 AD?,IScM III 123 (Kallatis)
/text/167846?location=941&patt=&bookid=185&offset=0&count=7&bookid=185&location=941,IGBulg I²,6,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 6,,,17,"1



5




10




15

","τύχῃ ἀγα[θῇ].
[Θ]εογένης Σκύθο[υ ἱε]-
[ρ]εὺς Ταύρων,
Σκύθης Θεογέν[ου]
ἱερεὺς Ταύρων κ[αὶ εὐ]-
εργέτης, Πολέμ[αρ]-
χος Ποσειδήου [ἱε]-
ρεὺς Ταύρων, Θεά[γης]
Σκύθου ἱερεὺς Τα[ύ]-
ρων, Πρόκλος Σκύθ[ου]
ἱερεὺς Ταύρων, Μιν̣[․․]
[Ἀ]πολωνίου {²⁶Ἀπολλωνίου}²⁶ ἱερεὺ[ς]
[Τ]αύρων, Χρύσιπο[ς] {²⁶Χρύσιππος}²⁶
[Δ]αισίου {²⁷[Μ]αισίου}²⁷ ἱερεὺς Τ[αύ]-
[ρ]ων, Ποσιδώνι[ος]
Μόσσχου {²⁶Μόσχου}²⁶ εὐεργ[έ]-
τ̣ης.",Bizone (Kavarna),,,1st/2nd c. AD,1st/2nd c. AD,,,
/text/167847?location=941&patt=&bookid=185&offset=0&count=7&bookid=185&location=941,IGBulg I²,7,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 7,,,4,"1


","Ἀγαπή[νωρ — — — — — — — —]
[Σε]πτίμιος [— — — — — — — — —]
[Α]ὐρ(ήλιος) Ἀντων[ῖνος (vel sim.)]
Αὐρή(λιος) Ἀριστ[ίων — — ? — —].",Bizone (Kavarna),,,,,,,
/text/167848?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,7(2),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 7(2),,,7,"
1



5
","[— — — — — — — — — — — —]
[— — — — —]․․[— Διο]ν̣υ̣σίου̣
[— — — —]ΩΝΕΥ[— —]Ω̣ΠΕΝΟΥϹ
[— — — —] Αἰνιά̣[δη]ς̣ Αἰνιάδου
[— — — —]ος Διο[— — — — —]
[— — — —] Ἀ̣λ̣ε[ξανδρο— — —]
[— — — — — — — — — — — —]",Bizone (Kavarna),,,,,,,
/text/167849?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,7(3),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 7(3),,,5,"
1


","[— — — — — — — —]
[— — — — — —]Χ̣Ι̣Ο̣-
[— — — — —]μ̣ε̣νος
[θε]οῖς
[τοῖς ἐν] Σαμοθράικ̣[ηι].",Bizone (Kavarna),,,2nd c. BC,2nd c. BC,,,
/text/167850?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,8,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior ",IGBulg I² 8,,,5,"1



5","ἀγαθῆι τύχηι̣.
Μ̣ητρὶ Θεῶν
Λεωνᾶς ανε
[— — — —]πε
[— — — — —]",Bizone (Kavarna),,,,,,,
